variant,t2i_r1_seed2023,t2i_r1_seed7,t2i_r1_seed13,t2i_r1_mean,t2i_r1_std,i2t_r1_seed2023,i2t_r1_seed7,i2t_r1_seed13,i2t_r1_mean,i2t_r1_std
img3txt0,7.969999999999999,7.91,7.739999999999999,7.8733,0.1193,0.12,0.08,0.16,0.12,0.04
img3txt0p3,5.45,5.52,5.71,5.56,0.1345,0.08,0.16,0.16,0.1333,0.0462
