variant,n_stage1_tokenizers,stage1_seeds,T->I_per_tokenizer,T->I_mean,T->I_std,I->T_per_tokenizer,I->T_mean,I->T_std
vanilla,3,"2023,7,13",20.86;21.70;20.91,21.157,0.471,10.52;10.24;9.58,10.113,0.483
strong,3,"2023,7,13",23.33;24.87;24.75,24.317,0.857,0.04;0.02;0.02,0.027,0.012
